brewery_id,brewery_name,country_name,brewery_in_production,is_independent,beer_count,brewery_type,brewery_type_id,brewery_address,brewery_city,brewery_state,brewery_lat,brewery_lng,brewery_rating_count,brewery_rating_score,brewery_age_on_service,CARDINAL,DATE,EVENT,FAC,GPE,LANGUAGE,LAW,LOC,MONEY,NORP,ORDINAL,ORG,PERCENT,PERSON,PRODUCT,QUANTITY,TIME,WORK_OF_ART
148,Boddington's Brewery,England,0,0,7,Macro Brewery,1,Cuerdale Ln,Shamlesbury,Lancashire,53.7622,-2.6113,156633,3.352,4031.497962962963,5,6,0,0,2,0,0,0,0,0,1,3,0,1,0,2,1,0
1486,Mt. Carmel Brewing Company,United States,0,1,259,Micro Brewery,2,4362 Mt Carmel Tobasco Road,Cincinnati,OH,39.0935,-84.2991,64973,3.602,4022.7664583333335,0,3,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0
150,Bonaventure Brewing,United States,0,1,22,Micro Brewery,2,404 S Figueroa St # 418a,Los Angeles,CA,34.0527,-118.256,2358,3.333,3924.759224537037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1506,Cambridge Brewing Company,United States,0,1,507,Micro Brewery,2,"1 Kendall Square, Bldg 100",Cambridge,MA,42.3663,-71.0906,182687,3.693,4021.9108912037036,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
152,Boon Rawd Brewery,Thailand,0,1,20,Macro Brewery,1,999 Samsen Road Dusit,Bangkok,กรุงเทพมหานคร,13.7924,100.517,261750,2.976,4023.264525462963,3,0,0,0,1,0,0,0,0,2,1,6,0,0,0,0,0,2
153,Bootleggers Restaurant and Brewery,United States,0,1,13,Micro Brewery,2,101 S Madison Ave,Aurora,MO,36.9753,-93.7209,137,3.399,4022.739201388889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15591,Brasserie Artisanale des Vosges,France,0,1,37,Micro Brewery,2,21 Rue du Velodrome,Saint-Etienne-lès-Remiremont,Vosges,48.0121,6.60739,8413,2.99,3694.2303935185187,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
156,Browar Witnica,Poland,0,1,133,Regional Brewery,11,ul. Marii Konopnickiej 1,Witnica,województwo lubuskie,52.6735,14.9004,25614,3.234,4009.3375462962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Boston Beer Company,United States,0,1,948,Regional Brewery,11,30 Germania St,Boston,MA,42.3144,-71.1034,5477345,3.459,4043.680648148148,2,3,1,0,1,0,0,0,0,2,1,3,0,4,0,0,0,1
158,BEERWORKS Brewing Co.,United States,1,1,0,Brew Pub,4,61 Brookline Avenue,Boston,MA,42.347,-71.0988,142246,3.536,4014.5990046296297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1582,Berliner-Kindl-Schultheiss-Brauerei,Germany,0,0,44,Macro Brewery,1,Indira-Gandhi-Straße 66,Berlin,Berlin,52.5421,13.471,180915,3.021,4014.8153125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Alameda Brewing Co.,United States,1,1,0,Micro Brewery,2,4765 NE Fremont St,Portland,OR,45.5483,-122.614,58654,3.606,3989.4258912037035,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0
160,Boulder Beer,United States,0,1,471,Contract Brewery,10,,,,0,0,618207,3.661,4024.623032407407,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1
1601,Trader Joe's (JosephsBrau),United States,0,1,34,Micro Brewery,2,357 East Taylor Street,San Jose,CA,37.3541,-121.893,166323,3.202,4021.5061805555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Brasal-Brasserie Allemande,Canada,1,1,2,Micro Brewery,2,8477 Rue Cordner,LaSalle,QC,45.4346,-73.6379,16,3.313,3933.073310185185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Brasserie Artisanale de Rulles,Belgium,0,1,16,Micro Brewery,2,Rue Maurice Grévisse 36,Rulles,Wallonie,49.7184,5.55765,52423,3.56,3975.5103125,2,2,0,0,2,0,0,0,0,0,1,1,1,6,0,0,0,1
1650,Abbaye Notre-Dame de Saint-Rémy,Belgium,0,1,4,Regional Brewery,11,Rue de l'Abbaye 8,Rochefort,Wallonie,50.1988,5.22693,567603,3.938,4008.0318981481482,3,2,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1
166,Brouwerij Clarysse,Belgium,0,1,1,Micro Brewery,2,Bedrijvenpark Coupure 12,Oudenaarde,Vlaanderen,50.8388,3.58847,945,3.167,3591.126909722222,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
